tag,game
动作,"['土豆兄弟(Brotato)', '重生细胞', '晶核', '聚爆Implosion', '艾希']"
单机,"['坐在罐子里的人', '泰拉瑞亚（旧国服版本)', '战地1991', '我的大学', '南国度假岛物语']"
冒险,"['避难所：生存', '人类跌落梦境', '崩坏：星穹铁道', '转生勇者打魔王', '晶核']"
策略,"['英雄联盟手游', '崩坏：星穹铁道', '逃脱者：困境突围（付费下载版）', 'Kingdom Rush Frontiers 塔防史诗冒险', '百分之一']"
Roguelike,"['重生细胞', '元气骑士', '抽卡监狱', 'Bike Riders Pro', '浮石之旅']"
二次元,"['Muse Dash 喵斯快跑', '原神', '尘白禁区', '锚点降临', '天启圣源']"
角色扮演,"['原神', '崩坏：星穹铁道', '战地1991', '我的水世界求生', '史莱姆与地下城']"
解谜,"['无间梦境', '人生画廊', '回门', '无处遁形', '透视梦境空间']"
休闲,"['人生画廊', '听说这里有怪兽', '太空行动', '南国度假岛物语', '我的仙术有点厉害']"
Steam移植,"['土豆兄弟(Brotato)', '重生细胞', '逃脱者：困境突围（付费下载版）', '枪火重生', '部落与弯刀']"
