标签,游戏
二次元,"['银河境界线', '森之国度', '锚点降临', '异世界转生模拟器2', '帕尼亚战纪']"
角色扮演,"['浮空秘境', '冒险岛：枫之传说', '森之国度', '代号56', '代号：双月']"
动作,"['高能英雄', '绝区零', '星之破晓', '归龙潮', '鸣潮']"
剧情,"['蔚蓝档案', '银河境界线', '钟之境', '世界之外', '西游：笔绘西行']"
策略,"['伊瑟·重启日', '少女前线2：追放', '新月同行', '昨日硝烟', '冲突2·闪电战']"
卡牌,"['蔚蓝档案', '锚点降临', '安尼姆的无尽旅途', '代号鸢', '雾境序列']"
冒险,"['冒险岛：枫之传说', '代号56', '代号：双月', '异世界转生模拟器2', '西游：笔绘西行']"
养成,"['钟之境', '异尘：达米拉', '西游：笔绘西行', '帕尼亚战纪', '扶摇一梦']"
开放世界,"['代号：双月', '鸣潮', '符文之路 Path of Rune', '仙剑世界', '无限暖暖']"
模拟经营,"['冲呀！饼干人：王国', '明日方舟：终末地', '百味食光', '奇遇村友会', '日不落山丘']"
